Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Timestamp,Other,Timestamp (Formatted)
0.0,-22.618914932012558,382.96762541262433,-12744.898387199268,-22.379561334848404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520942303E9,0.0,2024-01-17 18:55:20.942
1.0,-22.824609429575503,383.07608251133934,-12744.834808900021,-22.55533663276583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520950621E9,0.0,2024-01-17 18:55:20.950
1.0,-23.41177372261882,383.1359209106304,-12744.715132101439,-22.663793731480837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520950631E9,0.0,2024-01-17 18:55:20.950
2.0,-23.049003426916897,382.81054961448535,-12744.935786198825,-22.839569029398263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520965279E9,0.0,2024-01-17 18:55:20.965
2.0,-22.58525583241135,382.52257731789723,-12745.231238295324,-22.847048829309642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520965336E9,0.0,2024-01-17 18:55:20.965
3.0,-23.157460525631905,382.70209251577035,-12745.163920096122,-22.835829129442573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520966495E9,0.0,2024-01-17 18:55:20.966
3.0,-24.066256214864552,382.74323141528293,-12745.141480696388,-22.99664482753724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520966507E9,0.0,2024-01-17 18:55:20.966
4.0,-23.80820311792195,382.36924141971394,-12745.407013593242,-23.123801426030695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520980687E9,0.0,2024-01-17 18:55:20.980
4.0,-23.097622126340866,382.0139509239234,-12745.623927790672,-23.29957672394812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520980703E9,0.0,2024-01-17 18:55:20.980
5.0,-23.980238515883684,382.1336277225055,-12745.627667690627,-23.482831821776927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520994552E9,0.0,2024-01-17 18:55:20.994
5.0,-24.95635240431875,382.29070352064446,-12745.676286390051,-23.580069220624864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520994561E9,0.0,2024-01-17 18:55:20.994
6.0,-24.713258907198906,382.0251706237905,-12745.88572078757,-23.598768720403314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528520996223E9,0.0,2024-01-17 18:55:20.996
6.0,-24.343008811585605,381.48288513021544,-12746.020357185975,-23.73714501876384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70552852099623E9,0.0,2024-01-17 18:55:20.996
7.0,-25.128387802280486,381.58386242901906,-12745.97173848655,-23.905440516769886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528521010636E9,0.0,2024-01-17 18:55:21.010
7.0,-25.74173139501363,381.8942741253413,-12745.904420287348,-24.028857215307653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528521010645E9,0.0,2024-01-17 18:55:21.010
8.0,-25.457498998381197,381.6773599279113,-12746.18117288407,-24.084955714643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528521024585E9,0.0,2024-01-17 18:55:21.024
8.0,-24.9002539049834,381.2771906326525,-12746.4317461811,-24.21211231313646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528521024603E9,0.0,2024-01-17 18:55:21.024
9.0,-25.40514039900154,381.4492260306142,-12746.37190778181,-24.20463251322508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705528521025759E9,0.0,2024-01-17 18:55:21.025
